原文,情感得分,情感倾向
看了好久评论也没说店名叫啥求求啊～告诉孩子吧～急死了,0,中性
这看起来比那家鹅肝好吃,1,正面
好美,1,正面
颜值高到舍不得吃 青岛要不要安排上,0,中性
这家是歇业了吗[呃R]我刚回国想去吃,-1,负面
现在开门了吗,0,中性
人均多少呀,0,中性
妈妈我想吃这个,1,正面
姐妹 可以说一下你点了什么嘛,0,中性
心动 看到价格心又停了,1,正面
哇塞,1,正面
好好看啊,0,中性
！我刚从青岛回成都就给我推这个！,0,中性
好看到想去青岛旅游了,0,中性
好漂亮的饭饭,1,正面
第一道好美,1,正面
 肘,0,中性
真的很好看！,1,正面
中午营业吗,0,中性
去过这家 点了意面好吃不过热红酒喝不太习惯,1,正面
我来了，现在然后他关门了，他这个还有时间啥时候开业吗？,-1,负面
 哇塞！,1,正面
想吃,1,正面
我们去啊啊啊啊啊啊啊啊啊,0,中性
